Emoji,Hex,Category,Subcategory,Name,emoji_polaridade_pysent,emoji_neg_pysent,emoji_neu_pysent,emoji_pos_pysent,emoji_emotion_pysent
😂,\x{1F602},Smileys & Emotion,face-smiling,face with tears of joy,POS,0.07276108860969543,0.2705918252468109,0.6566471457481384,joy
🤣,\x{1F923},Smileys & Emotion,face-smiling,rolling on the floor laughing,POS,0.04974894970655441,0.13118934631347656,0.8190616965293884,others
😭,\x{1F62D},Smileys & Emotion,face-concerned,loudly crying face,NEG,0.9527065753936768,0.025289801880717278,0.022003624588251114,sadness
😘,\x{1F618},Smileys & Emotion,face-affection,face blowing a kiss,POS,0.046457741409540176,0.3975135087966919,0.5560287833213806,others
🥰,\x{1F970},Smileys & Emotion,face-affection,smiling face with hearts,POS,0.0013801520690321922,0.01638610288500786,0.9822337031364441,joy
😍,\x{1F60D},Smileys & Emotion,face-affection,smiling face with heart-eyes,POS,0.001305470708757639,0.009315607137978077,0.9893788695335388,others
😊,\x{1F60A},Smileys & Emotion,face-smiling,smiling face with smiling eyes,POS,0.002700547454878688,0.03828762099146843,0.9590118527412415,joy
😁,\x{1F601},Smileys & Emotion,face-smiling,beaming face with smiling eyes,POS,0.011302565224468708,0.1641688048839569,0.8245285749435425,joy
🥺,\x{1F97A},Smileys & Emotion,face-concerned,pleading face,NEU,0.28372636437416077,0.5162637233734131,0.20000989735126495,others
😅,\x{1F605},Smileys & Emotion,face-smiling,grinning face with sweat,POS,0.1412745714187622,0.3904793858528137,0.46824607253074646,others
☺️,\x{263A FE0F},Smileys & Emotion,face-affection,smiling face,NEU,0.27059224247932434,0.3649570941925049,0.36445069313049316,others
🙄,\x{1F644},Smileys & Emotion,face-neutral-skeptical,face with rolling eyes,NEG,0.9728474617004395,0.01775127649307251,0.009401164017617702,others
😆,\x{1F606},Smileys & Emotion,face-smiling,grinning squinting face,POS,0.018830783665180206,0.15654000639915466,0.8246291875839233,others
🤗,\x{1F917},Smileys & Emotion,face-hand,hugging face,POS,0.06521321088075638,0.41814592480659485,0.5166409015655518,joy
😉,\x{1F609},Smileys & Emotion,face-smiling,winking face,POS,0.03500501811504364,0.4048738181591034,0.5601211786270142,joy
🤔,\x{1F914},Smileys & Emotion,face-hand,thinking face,NEU,0.04760051146149635,0.7701669931411743,0.18223248422145844,others
🙂,\x{1F642},Smileys & Emotion,face-smiling,slightly smiling face,POS,0.0021034833043813705,0.01869506575167179,0.9792014360427856,joy
😳,\x{1F633},Smileys & Emotion,face-concerned,flushed face,NEU,0.15679700672626495,0.6111756563186646,0.23202736675739288,others
🥳,\x{1F973},Smileys & Emotion,face-hat,partying face,POS,0.020395876839756966,0.2976714074611664,0.6819327473640442,others
😎,\x{1F60E},Smileys & Emotion,face-glasses,smiling face with sunglasses,POS,0.001975665334612131,0.021224357187747955,0.9768000245094299,joy
😔,\x{1F614},Smileys & Emotion,face-sleepy,pensive face,NEG,0.8818139433860779,0.0815642774105072,0.03662174940109253,sadness
😋,\x{1F60B},Smileys & Emotion,face-tongue,face savoring food,POS,0.011687928810715675,0.1777784675359726,0.8105336427688599,joy
😏,\x{1F60F},Smileys & Emotion,face-neutral-skeptical,smirking face,POS,0.009044037200510502,0.16332058608531952,0.8276354074478149,joy
😢,\x{1F622},Smileys & Emotion,face-concerned,crying face,NEG,0.8259022235870361,0.11121079325675964,0.06288700550794601,sadness
😩,\x{1F629},Smileys & Emotion,face-concerned,weary face,NEG,0.9787324070930481,0.012760122306644917,0.008507384918630123,others
